epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6317,nan,nan,nan,0,0,0,0,nan,nan,nan,6e-05,6e-05,6e-05
2,49.1576,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000122096,0.000122096,0.000122096
3,73.6493,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000183779,0.000183779,0.000183779
4,98.2388,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00024505,0.00024505,0.00024505
5,122.867,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002467,0.0002467,0.0002467
6,147.493,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000245875,0.000245875,0.000245875
7,172.786,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00024505,0.00024505,0.00024505
8,197.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000244225,0.000244225,0.000244225
9,222.078,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002434,0.0002434,0.0002434
10,246.737,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000242575,0.000242575,0.000242575
11,271.374,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00024175,0.00024175,0.00024175
12,296.017,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000240925,0.000240925,0.000240925
13,320.793,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002401,0.0002401,0.0002401
14,345.575,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000239275,0.000239275,0.000239275
15,370.334,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00023845,0.00023845,0.00023845
16,395.118,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000237625,0.000237625,0.000237625
17,419.867,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002368,0.0002368,0.0002368
18,444.666,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000235975,0.000235975,0.000235975
19,469.445,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00023515,0.00023515,0.00023515
20,494.212,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000234325,0.000234325,0.000234325
21,519.021,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002335,0.0002335,0.0002335
22,543.771,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000232675,0.000232675,0.000232675
23,568.533,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00023185,0.00023185,0.00023185
24,593.325,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000231025,0.000231025,0.000231025
25,618.075,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002302,0.0002302,0.0002302
26,642.839,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229375,0.000229375,0.000229375
27,667.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00022855,0.00022855,0.00022855
28,692.335,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000227725,0.000227725,0.000227725
29,717.088,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002269,0.0002269,0.0002269
30,741.829,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000226075,0.000226075,0.000226075
31,766.594,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00022525,0.00022525,0.00022525
32,791.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000224425,0.000224425,0.000224425
33,816.102,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002236,0.0002236,0.0002236
34,840.862,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000222775,0.000222775,0.000222775
35,865.592,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00022195,0.00022195,0.00022195
36,890.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000221125,0.000221125,0.000221125
37,915.132,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002203,0.0002203,0.0002203
38,939.872,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000219475,0.000219475,0.000219475
39,964.61,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00021865,0.00021865,0.00021865
40,989.381,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000217825,0.000217825,0.000217825
41,1014.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000217,0.000217,0.000217
42,1038.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000216175,0.000216175,0.000216175
43,1063.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00021535,0.00021535,0.00021535
44,1088.34,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000214525,0.000214525,0.000214525
45,1113.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002137,0.0002137,0.0002137
46,1137.85,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000212875,0.000212875,0.000212875
47,1162.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00021205,0.00021205,0.00021205
48,1187.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000211225,0.000211225,0.000211225
